shareHolderCode,shareHolderName,stocks,avg_1_Week_Return,avg_1_Month_Return,avg_3_Month_Return,avg_6_Month_Return,avg_1_Year_Return,count_1_Week_Return,count_1_Month_Return,count_3_Month_Return,count_6_Month_Return,count_1_Year_Return
19321,شخص حقیقی,غبهار,0.016008886932080506,0.1949467448525074,0.5502921753558039,0.31464811112662616,,18,18,18,18,0
50192,bfmصندوق سرمایه گذاری.ا.ب.سینابهگزین,غبهار,-0.0184707318547109,-0.019803234769911367,0.3885171350974657,0.10231599528212654,-0.028474635372745295,21,21,21,21,21
51674,شرکت کشت وصنعت شهداب ناب خراسان-سهامی عام-,غبهار,0.02472294037476681,0.008270535357776821,0.14654953680673816,0.07785916308941612,0.3076633848918863,5,5,5,4,4
60500,bfmصندوق سرمایه گذاری.ا.بازارگردانی معیار,غبهار,0.007160530473965116,0.050623793422029294,0.2481689723735354,0.5145344093774226,0.35621469904167247,49,49,45,45,35
71214,شخص حقیقی,غبهار,0.039396748588585016,0.07029582419562644,0.010078997648138873,-0.16907153932683788,,18,18,18,18,0
71448,شخص حقیقی,غبهار,-0.033421322620572784,-0.07244380020792775,-0.14493529353292028,-0.26621588216807746,,7,7,6,4,0
71450,شخص حقیقی,غبهار,-0.008119089250915016,-0.033976197004022324,-0.15202720675828604,,,6,6,4,3,0
71455,شخص حقیقی,غبهار,-0.01807712955340714,-0.042176304164313304,-0.1934902587834444,-0.25461978711525596,,6,6,4,4,0
71456,شخص حقیقی,غبهار,-0.0020637411905260077,-0.03190333679301952,-0.071025126284724,,,7,7,6,3,0
78046,شخص حقیقی,غبهار,,,,,,3,3,3,3,0
78284,شخص حقیقی,غبهار,0.02095582440346207,0.11017057219768817,0.028450025625577982,-0.14585131227540565,,9,9,9,9,0
362,شرکت تولیدی موتورگیربکس واکسل سایپا-سهامی خاص,خلیبل,-0.003579809495367609,-0.06744584758500974,-0.10132245353864519,15.412232272069897,12.917665276210078,21,21,21,21,21
42238,bfmصندوق.س.ا.بازارگردانی امیدلوتوس پارسیان,خلیبل,-0.019250682029583487,0.019104061993381372,0.13778854447973632,0.3104980869625225,0.07550943241999486,50,50,50,50,42
